,station_name,num_bikes_available,mechanical_available,electrical_available,num_docks_available
134,BEAUVISAGE / PRESSENSÉ,14,10,4,3
135,PLACE DU PORT MOUTON,5,2,3,12
136,11 NOVEMBRE / GASTON BERGER,16,0,16,18
137,JEAN XXIII / MERMOZ,15,7,8,5
138,GORGE DE LOUP,7,2,5,32
139,PLACE MENDÈS FRANCE,11,4,7,7
140,MÉTRO FLACHET,6,2,4,15
141,PLACE LEBRET,1,1,0,13
142,ANATOLE FRANCE / ZOLA,1,1,0,10
143,SAINT EXUPÉRY,10,5,5,5
144,RÉPUBLIQUE,15,5,10,0
145,JEAN XXIII,12,5,7,3
146,PERRIN / JEAN JAURÈS,0,0,0,0
147,PLACE RHODIACETA,8,1,7,3
148,4 AOÛT 1789,2,2,0,12
149,CARRET / SÉDALLIAN,17,3,14,1
150,VAISE DOCKS,8,5,3,10
151,MARIETTON OUEST,14,13,1,6
152,MOULIN A VENT,13,6,7,9
153,MASSET / SAINT-PIERRE DE VAISE,0,0,0,13
154,PAUL SANTY,7,5,2,9
155,MANGINI,20,8,12,4
156,MERMOZ / PINEL,10,3,7,13
157,LYCÉE MARIE CURIE,5,3,2,10
158,MERMOZ / MICHELET,0,0,0,11
159,JACQUES BREL,22,5,17,1
160,PLACE GABRIEL PÉRI,4,1,3,19
161,DUMONT / JOUVET,2,2,0,15
162,SERGENT BERTHET / GORGE DE LOUP,3,2,1,12
163,INSTITUT D'ART CONTEMPORAIN,2,2,0,22
164,UNIVERSITÉS LYON III / LYON II,16,9,7,23
165,ALLEE DE L'EUROPE,3,1,2,7
166,ZOLA / PASSAGE REY,14,4,10,5
167,GAMBETTA / GARIBALDI,30,16,14,10
168,ANDREI SAKHAROV,0,0,0,12
169,GABRIEL PÉRI,10,4,6,2
170,MAIRIE DU 7E,15,9,6,5
171,BALMONT,1,0,1,11
172,DEBOURG,13,12,1,5
173,ETATS-UNIS / LÉVIGNE,0,0,0,0
174,GERLAND,34,24,10,6
175,LAËNNEC,8,2,6,8
176,FARGE / AYASSE,16,11,5,4
177,ANATOLE FRANCE / BARBUSSE,0,0,0,0
178,JEAN JAURÈS / GUILLOTIÈRE,7,6,1,1
179,VAILLANT / PERRONCEL,4,3,1,13
180,JEAN JAURÈS,8,5,3,7
181,BERTHELOT / CAZENEUVE,15,7,8,5
182,CENTRE BERTHELOT,12,9,3,7
183,BERTHELOT / VILLON,10,4,6,2
184,BERTHELOT / GARIBALDI,14,14,0,1
185,SANS SOUCI,13,0,13,7
186,CHATEAU GAILLARD / BIENVENUS,5,4,1,10
187,MERIEUX / PAVILLONS,12,11,1,4
188,DOUA / AVENUE DES ARTS,6,1,5,24
189,HALLE TONY GARNIER,3,0,3,15
190,CAZENEUVE,13,11,2,5
191,MARSEILLE / FÉLISSENT,16,9,7,14
192,ALBERT THOMAS / VILLON,3,3,0,15
193,ANATOLE FRANCE,3,3,0,6
194,TECHSUD,0,0,0,10
195,PIERRE DELORE,6,5,1,13
196,BARATIN,4,3,1,8
197,PLACE SAINT LOUIS,2,2,0,13
198,AMBROISE PARÉ,15,6,9,8
199,4 AOÛT 1789 / PRESSENSÉ,6,4,2,12
200,BEAUVOIR / MAROT,15,10,5,5
201,ETATS-UNIS / VIVIANI,15,5,10,5
202,COLIN / PERRONCEL,12,4,8,3
203,LYCEE LOUISE LABE,1,0,1,15
204,FRANCIS DE PRESSENSÉ,11,6,5,11
205,CROIX BARRET / BOURDEIX,24,16,8,7
206,CHÂTEAU GAILLARD / FORT,6,1,5,10
207,PARC DE GERLAND,12,7,5,12
208,MONTGOLFIER / CHATEAU GAILLARD,11,1,10,6
209,CHALLEMEL LACOUR / GERLAND,10,2,8,2
210,JAURÈS / LAGRANGE,25,22,3,2
211,BERTHELOT / ROUTE DE VIENNE,10,7,3,5
212,BANCEL / CHEVREUL,11,2,9,4
213,GARE DES BROTTEAUX,12,5,7,4
214,LACOUR / ARTILLERIE,17,6,11,3
215,PORTE DES ENFANTS DU RHÔNE,16,1,15,23
216,BALDASSINI / GERLAND,2,0,2,17
217,BATAILLE / KRÜGER,13,7,6,5
218,AVENUE VERGUIN,11,7,4,9
219,HÔPITAL SAINT-JEAN DE DIEU,9,2,7,11
220,FOCH,6,6,0,14
221,CLINIQUE MONPLAISIR,3,0,3,13
222,PLACE EDGAR QUINET,7,2,5,13
223,LUMIERE / TROUILHET,4,3,1,12
224,EINSTEIN / 11 NOVEMBRE 1918,13,1,12,21
225,BOULEVARD DES BELGES,9,7,2,6
226,QUARTIER GENERAL FRERE,13,5,8,14
227,MARTINIÈRE / MONPLAISIR,4,1,3,16
228,DOUA / GASTON BERGER,8,0,8,20
229,MASSÉNA,1,1,0,25
230,JAURÈS / GERLAND,12,8,4,7
231,SAINT-ROMAIN / BERLIET,4,3,1,14
232,DOUA / RUE DES SPORTS,16,3,13,11
233,PLACE JULES FERRY,12,7,5,8
234,DELORE / AUDIBERT ET LAVIROTTE,4,1,3,14
235,SAINT-LUC / SAINT-JOSEPH,24,16,8,7
236,VIENNE / MONTAGNY,12,6,6,8
237,PISCINE DU RHÔNE,7,7,0,17
238,LONGEFER / KRUGER,10,5,5,6
239,MAIRIE DU 6E,17,10,7,6
240,MARSEILLE / UNIVERSITÉ,13,6,7,25
241,LAENNEC / PINEL,5,1,4,8
242,PLACE PUVIS DE CHAVANNES,9,7,2,1
243,GRYPHE / MONTESQUIEU,2,1,1,19
244,SANTY / BEAUVISAGE,4,2,2,13
245,STADE VUILLERMET,16,13,3,2
246,PLACE STALINGRAD,1,1,0,12
247,MÉMOIRE ET SOCIÉTÉ,5,1,4,19
248,GUILLOTIÈRE / MADELEINE,10,7,3,0
249,CHARLES HERNU,12,4,8,4
250,VIABERT / THIERS,7,5,2,9
251,PLACE DE LA RECONNAISSANCE,4,3,1,27
252,LAFAYETTE / INKERMANN,17,7,10,12
253,DOMER / CHEVREUL,6,5,1,5
254,GARE DE VILLEURBANNE,11,5,6,10
255,BEL AIR / LES BROSSES,17,6,11,3
256,PLACE D'ESPAGNE / STADE KRUGER,14,4,10,8
257,MUSÉE GUIMET,11,6,5,4
258,BLUM / FAYS,7,2,5,9
259,GARIBALDI,2,1,1,9
260,PARC DES BERGES,22,17,5,2
261,LA PERRALIÈRE,4,2,2,17
262,PLACE MARÉCHAL LYAUTEY,6,3,3,14
263,PLACE DE L'ECOLE,18,15,3,9
264,VOYANT / CHAMBFORT,11,3,8,11
265,QUAI SARRAIL,2,2,0,12
266,VILLEURBANNE SAINT-JEAN,0,0,0,0
267,TRONCHET / ANATOLE FRANCE,6,0,6,4
268,SALENGRO / DESCARTES,6,0,6,9
269,PLACE VARILLON (FUNICULAIRE ST JUST),22,18,4,1
270,PLACE D'HELVÉTIE,6,2,4,23
271,CITÉ SCOLAIRE INTERNATIONALE,5,4,1,19
272,PLACE DES COMPAGNONS DE LA CHANSON,10,3,7,6
273,VERDUN / DESGRAND,15,4,11,6
274,GUILLOTIERE / NICOLAÏ,16,0,16,14
275,SAINT JEAN CANAL,4,1,3,8
276,SAINT-JEAN,20,9,11,12
277,RÉCAMIER / TÊTE D'OR,2,0,2,14
278,PARC BLANDAN,13,10,3,12
279,SAINT-PAUL,17,5,12,6
280,JAURÈS / THIBAUDIÈRE,4,2,2,23
281,QUAI ROMAIN ROLLAND,11,9,2,6
282,PLACE DE TRION,9,8,1,7
283,LAFAYETTE / CORNEILLE,3,1,2,10
284,SERVANT / JABOULAY,12,8,4,2
285,SAINTE-IRÉNÉE,8,4,4,12
286,PRÉFECTURE / SARRAIL,4,1,3,13
287,PLACE RASPAIL,4,1,3,18
288,PLACE ENNEMOND FOUSSERET,5,1,4,11
289,CRÉQUI / LAFAYETTE,7,4,3,7
290,JAURES / BOLLIER,26,16,10,7
291,CITÉ INTERNATIONALE,10,3,7,11
292,MUSÉE D'ART CONTEMPORAIN,13,8,5,9
293,CITÉ INTERNATIONALE / INTERPOL,20,7,13,5
294,JAURES / UNIVERSITE,9,5,4,11
295,GARIBALDI / DOMER,4,3,1,15
296,FULCHIRON,12,4,8,7
297,GARIBALDI / BUGEAUD,6,5,1,12
298,POINT DU JOUR / GRANGES,8,4,4,4
299,LES HALLES,8,6,2,6
300,CROUS,11,5,6,6
301,CITÉ INTERNATIONALE / TÊTE D'OR NORD,17,7,10,4
302,CITÉ INTERNATIONALE / RÉSIDENCE HÔTELIÈRE,19,7,12,9
303,CITÉ INTERNATIONALE / CINÉMA,23,9,14,9
304,CHARMETTES / BELLECOMBE,11,4,7,4
305,BROTTEAUX / VAUBAN,8,4,4,7
306,CONSERVATOIRE BIS,14,9,5,7
307,MAIRIE DU 4E,13,2,11,7
308,RUE DE LA BALEINE,5,0,5,9
309,PLACE COMMANDANT  ARNAUD,15,7,8,2
310,HÉNON,9,9,0,13
311,PLACE BERTONE,8,7,1,4
312,PLACE GERSON,9,6,3,10
313,PHILIPPE DE LASSALLE,21,19,2,2
314,CHARCOT / RÉSIDENCE UNIVERSITAIRE,19,19,0,13
315,PLACE FLAMMARION,11,5,6,7
316,MÉNIVAL / JOLIOT CURIE,1,1,0,19
317,CLOS SAVARON,4,4,0,16
318,MÉNIVAL / EISENHOWER,0,0,0,12
319,JACQUARD / DENFERT-ROCHEREAU,4,2,2,10
